Title,Status,Accessibility,URL,URL_link,Description
FOS External Data Explorer,In Pilot,Publicly available,,,"The Fishery Operations System (FOS) is a DFO Pacific Region centralized Oracle database. It stores salmon fishery catch, effort and biological data from commercial fisheries, test fisheries and Indigenous sale fisheries. This dashboard allows the public to view insights and retrieve up-to-date information about commercial salmon catch and commercial salmon openings. This data has been redacted according to privacy rules. "
FOS Internal Data Explorer,Operational,Internal to DFO,FOS internal dashboard,https://app.fabric.microsoft.com/groups/me/apps/77d0b455-d761-4543-b126-999f29b0779f/reports/2cc62024-3c0a-4bb8-b161-bec67f91d906/28134eafb5d5b2d10df5?ctid=1594fdae-a1d9-4405-915d-011467234338&experience=fabric-developer,"The Fishery Operations System (FOS) is a DFO Pacific Region centralized Oracle database. It stores salmon fishery catch, effort and biological data from commercial fisheries, test fisheries and Indigenous sale fisheries. This dashboard allows internal staff to view insights and retrieve up-to-date information about commercial salmon catch and commercial salmon openings."
Salmon Space,Operational,Publicly available,Salmon Space,https://egisp.dfo-mpo.gc.ca/apps/SalmonSpace-EspaceSaumon/,"Salmon Space is an interactive map that provides information about salmon data in British Columbia and Yukon. You can search by location or salmon species to see information such as salmon counts and stock status. Salmon Space shows all Stock Management Units (SMUs), Conservation Units (CUs), and Designatable Units (DUs) with spatial data. "
STREAM Platform,Operational,Internal to DFO,Stream Platform,https://pac-salmon.dfo-mpo.gc.ca:8443/bcsn/#/,"The Salmon Tracking, Escapement, Assessment and Management (STREAM) Platform is your salmon escapement data toolbox - consisting of Salmon escapement databases, tools, and applications to improve data flow, confidence, and accessibility."
STAMP platform,In development,Internal to DFO,,,"The Specimen Tracking and Analysis Management Platform (STAMP) is an integration and tracking system that supports field biologists, laboratories, and analysts by linking information about individual organism specimens across field sampling, tissue handling, and laboratory analysis."
SILScanner,In development,Internal to DFO,,,"SILscanner is a cloud-based digitization and data recovery platform focused on converting paper Stream Inspection Logs (SILs) into machine-readable data. SILs remain a significant component of salmon monitoring and assessment operations, and SILscanner supports operational programs by transforming these paper records into accessible digital data."
DocFlow,In Pilot,Internal to DFO,,,"DocFlow is an AI-assisted document processing platform designed to transform large collections of unstructured PDF documents into searchable, analyzable, and decision-ready data. It supports programs such as Fish and Fish Habitat Protection by unlocking information embedded in regulatory, monitoring, and authorization documents that are currently difficult and time-consuming to use."
Salmon Population Summary Repository ,Operational,Internal to DFO,http://ci-wpbcios9112492-eos-2/,http://ci-wpbcios9112492-eos-2/,"A regional Salmon Population Summary Repository (SPSR) that centralizes derived salmon population indices and supporting metadata without replacing source systems. It provides standardized, versioned index data with documented methods and assumptions, enabling faster, more transparent FSAR production and improved coordination across science programs."
Qualark Data System,In Pilot,Internal to DFO,https://dfo-pacific-science.github.io/qualark-shiny-app/,https://dfo-pacific-science.github.io/qualark-shiny-app/,"A shared PSC–DFO data service for in-season Qualark sonar counts that standardizes data ingest, validation, and sharing. It enables faster, more reliable access to trusted counts to support forecasting workflows and reduce manual data transfers during the field season."
DFO Salmon Data Standards,Operational,Publicly available,https://dfo-pacific-science.github.io/dfo-salmon-ontology/,https://dfo-pacific-science.github.io/dfo-salmon-ontology/,"A standardized semantic reference for salmon data, providing controlled vocabularies and an ontology that define common terms, code lists, and metadata fields. It enables consistent alignment of columns and codes across datasets, improving interoperability and reuse. All artifacts are versioned, openly maintained in GitHub, and published as a browsable HTML site."
Genetic Results Database,In Pilot,Internal to DFO,http://ci-bc-eos-1.ent.dfo-mpo.ca:3838/genetic-results-database/,http://ci-bc-eos-1.ent.dfo-mpo.ca:3838/genetic-results-database/,"A centralized Genetic Results Database that standardizes and version-controls genetic stock ID and parentage-based tagging outputs with common structures, metadata, and terminology. It provides a single, traceable source for genetic results, enabling reuse, mixed-stock analyses, and interoperability with other salmon data systems."
Salmon Outlook Enhancements,Operational,Publicly available,https://github.com/dfo-pacific-science/salmon-outlook-report,https://github.com/dfo-pacific-science/salmon-outlook-report,"A rapid reporting data service that collects Outlook inputs via Survey123 forms and transforms them into standardized tables, slides, and reports using automated R workflows. It reduces manual processing, supports tight timelines, and produces repeatable, versioned Outlook products ready for publication."
